Geneid	TPM
ENSMUSG00000090025	0
ENSMUSG00000064842	0
ENSMUSG00000051951	0
ENSMUSG00000089699	0
ENSMUSG00000088390	0
ENSMUSG00000089420	0
ENSMUSG00000025900	0
ENSMUSG00000025902	0
ENSMUSG00000064376	0
ENSMUSG00000088000	0
ENSMUSG00000033845	6.02617013484167
ENSMUSG00000025903	1.68567875197172
ENSMUSG00000033813	43.8885307753695
ENSMUSG00000062588	0.946173086390397
ENSMUSG00000002459	0.0297879450732613
ENSMUSG00000091305	0
ENSMUSG00000085623	0
ENSMUSG00000091665	0
ENSMUSG00000033793	22.4616859092573
ENSMUSG00000025905	0
ENSMUSG00000093015	0
ENSMUSG00000033774	0
ENSMUSG00000025907	54.4065978331096
ENSMUSG00000090031	4.12750566279659
ENSMUSG00000073741	0.278130174373469
ENSMUSG00000087247	0
ENSMUSG00000033740	0
ENSMUSG00000051285	10.9603696136516
ENSMUSG00000048538	0.0486031944440165
ENSMUSG00000077244	0
ENSMUSG00000086461	0.0529216677139794
ENSMUSG00000025909	0
ENSMUSG00000086235	0
ENSMUSG00000076169	0
ENSMUSG00000084353	1.3153239496412
ENSMUSG00000076135	2.29583816664645
ENSMUSG00000086195	0
ENSMUSG00000066693	0
ENSMUSG00000065625	0
ENSMUSG00000061024	7.46399755692825
ENSMUSG00000025911	0.0759297048500029
ENSMUSG00000079671	0.0257171281396242
ENSMUSG00000081441	0
ENSMUSG00000067879	0.0387810501122711
ENSMUSG00000025912	4.5222672724408
ENSMUSG00000045210	53.4796767314161
ENSMUSG00000085661	7.11149871131949
ENSMUSG00000025915	74.6336731092242
ENSMUSG00000046334	5.61204885180244
ENSMUSG00000088916	7.81678232929625
ENSMUSG00000046101	4.41836342455206
ENSMUSG00000093178	1.45139194443166
ENSMUSG00000073738	0.0717721291202471
ENSMUSG00000025916	0.0829094544750852
ENSMUSG00000087199	0
ENSMUSG00000065085	0
ENSMUSG00000025917	48.7435226832841
ENSMUSG00000056763	7.90861849588066
ENSMUSG00000067851	14.3536665126824
ENSMUSG00000088153	0
ENSMUSG00000042501	0
ENSMUSG00000083422	0
ENSMUSG00000065035	0
ENSMUSG00000081417	0.384972863309618
ENSMUSG00000088585	0
ENSMUSG00000048960	0.0228462274589388
ENSMUSG00000077318	0
ENSMUSG00000057715	0
ENSMUSG00000064969	0
ENSMUSG00000066918	0
ENSMUSG00000016918	0.0274025822841916
ENSMUSG00000025938	0
ENSMUSG00000042414	0
ENSMUSG00000005886	14.4986405692742
ENSMUSG00000087782	1.12742052826388
ENSMUSG00000025935	210.677732454718
ENSMUSG00000025937	10.2018439673252
ENSMUSG00000067813	0.098341977543267
ENSMUSG00000077368	0
ENSMUSG00000089358	0
ENSMUSG00000025932	0.0288817701659549
ENSMUSG00000093057	0
ENSMUSG00000025930	0
ENSMUSG00000054493	0
ENSMUSG00000081201	0
ENSMUSG00000082193	0.282485680459854
ENSMUSG00000032769	0
ENSMUSG00000088159	0
ENSMUSG00000073737	0
ENSMUSG00000092083	0
ENSMUSG00000088829	0
ENSMUSG00000090498	0
ENSMUSG00000077377	0
ENSMUSG00000025925	102.774416136839
ENSMUSG00000032719	1.14875454117135
ENSMUSG00000088943	0
ENSMUSG00000067795	0.0306037564628102
ENSMUSG00000043716	693.598171988838
ENSMUSG00000025921	4.46198355224436
ENSMUSG00000025920	0.0561454420478234
ENSMUSG00000089982	0
ENSMUSG00000025939	5.41742291736381
ENSMUSG00000079658	126.866717557845
ENSMUSG00000087414	0
ENSMUSG00000025940	7.83726510409766
ENSMUSG00000025779	0.837619231612304
ENSMUSG00000091020	1.74596084351609
ENSMUSG00000042686	0
ENSMUSG00000025777	0
ENSMUSG00000089534	0
ENSMUSG00000067780	0
ENSMUSG00000085125	0
ENSMUSG00000025776	0.0279670208561583
ENSMUSG00000025774	0
ENSMUSG00000070977	0
ENSMUSG00000073735	0
ENSMUSG00000067773	0
ENSMUSG00000089923	0
ENSMUSG00000088800	0
ENSMUSG00000089787	0
ENSMUSG00000042596	0
ENSMUSG00000060128	152.025021978621
ENSMUSG00000025927	0
ENSMUSG00000084668	0
ENSMUSG00000080585	0
ENSMUSG00000043760	0
ENSMUSG00000089914	0
ENSMUSG00000090142	0
ENSMUSG00000070175	0
ENSMUSG00000065559	0
ENSMUSG00000065480	0
ENSMUSG00000025929	0
ENSMUSG00000041872	2.20678391551055
ENSMUSG00000041859	510.298198316163
ENSMUSG00000088858	0
ENSMUSG00000087078	0
ENSMUSG00000025931	0.04689734416548
ENSMUSG00000077314	0
ENSMUSG00000041809	0
ENSMUSG00000041779	0.174971499998459
ENSMUSG00000025933	0
ENSMUSG00000025934	0
ENSMUSG00000046847	0
ENSMUSG00000025936	0
ENSMUSG00000067750	0
ENSMUSG00000086194	0
ENSMUSG00000087453	0
ENSMUSG00000041722	0
ENSMUSG00000085507	0
ENSMUSG00000087427	0
ENSMUSG00000085079	0
ENSMUSG00000085679	0
ENSMUSG00000028033	0.0818241959341335
ENSMUSG00000082935	1.17957877334371
ENSMUSG00000085163	0
ENSMUSG00000041670	0
ENSMUSG00000073730	0
ENSMUSG00000089553	0
ENSMUSG00000073729	0.450968211305553
ENSMUSG00000065405	0.889233092715175
ENSMUSG00000065567	0.751613685509255
ENSMUSG00000026158	23.6823479752078
ENSMUSG00000026156	6.33085794623368
ENSMUSG00000026155	154.209683624283
ENSMUSG00000026154	14.736444067376
ENSMUSG00000026153	0.156179467118806
ENSMUSG00000026147	0
ENSMUSG00000026141	0
ENSMUSG00000077463	0
ENSMUSG00000067736	1.0628880401141
ENSMUSG00000090378	0.654254399821528
ENSMUSG00000073725	5.28277047529362
ENSMUSG00000033569	0
ENSMUSG00000080849	0
ENSMUSG00000064910	0
ENSMUSG00000084740	0
ENSMUSG00000052558	0
ENSMUSG00000088111	0
ENSMUSG00000073722	0
ENSMUSG00000065125	0
ENSMUSG00000079640	0
ENSMUSG00000084715	0
ENSMUSG00000086240	0.457503982483894
ENSMUSG00000048411	0
ENSMUSG00000081557	0
ENSMUSG00000090766	0
ENSMUSG00000058590	0
ENSMUSG00000064433	0
ENSMUSG00000080625	0
ENSMUSG00000080391	0
ENSMUSG00000077073	0
ENSMUSG00000053185	0
ENSMUSG00000048874	65.2878089276719
ENSMUSG00000026064	19.7264345164033
ENSMUSG00000086151	0
ENSMUSG00000086726	0
ENSMUSG00000087346	0
ENSMUSG00000086727	0
ENSMUSG00000050217	0
ENSMUSG00000026063	0
ENSMUSG00000077664	0
ENSMUSG00000070960	0.469758553443284
ENSMUSG00000088620	0
ENSMUSG00000082159	0
ENSMUSG00000026058	0
ENSMUSG00000064688	0
ENSMUSG00000049830	0
ENSMUSG00000091318	0
ENSMUSG00000089489	0
ENSMUSG00000089395	0
ENSMUSG00000088750	0
ENSMUSG00000065223	0
ENSMUSG00000065260	0
ENSMUSG00000026134	125.659828284394
ENSMUSG00000044744	1.52396154165325
ENSMUSG00000004768	1.74761765435223
ENSMUSG00000042215	43.2304695633405
ENSMUSG00000042197	5.33173877956146
ENSMUSG00000081402	0.125601225960433
ENSMUSG00000042182	0
ENSMUSG00000026131	0.0444050686997899
ENSMUSG00000084506	0
ENSMUSG00000085306	0
ENSMUSG00000079617	0
ENSMUSG00000092852	0
ENSMUSG00000042111	10.4855402182664
ENSMUSG00000026127	33.4336017359277
ENSMUSG00000026126	3.6362879822992
ENSMUSG00000026125	0.202682342159799
ENSMUSG00000026124	0
ENSMUSG00000037529	0
ENSMUSG00000045815	0
ENSMUSG00000045174	0
ENSMUSG00000089955	0
ENSMUSG00000037509	0.408820739797825
ENSMUSG00000046858	0
ENSMUSG00000037503	43.6952682684407
ENSMUSG00000026123	1.86945592842557
ENSMUSG00000077231	0
ENSMUSG00000064601	0
ENSMUSG00000045216	769.645946728905
ENSMUSG00000037470	15.7790825593486
